"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","77.19","76.67","77.04","76.67","0.12K","0.36%"
"10/30/2023","76.92","78.52","78.52","77.00","1.36K","-0.82%"
"10/27/2023","77.55","78.72","78.72","78.51","0.04K","0.06%"
"10/26/2023","77.50","78.01","78.01","77.50","2.69K","-0.90%"
"10/25/2023","78.21","78.65","78.65","78.65","0.00K","-0.65%"
"10/24/2023","78.72","79.37","79.37","79.00","0.03K","0.11%"
"10/23/2023","78.63","78.52","78.52","78.52","0.10K","-1.30%"
"10/20/2023","79.67","79.81","79.81","78.96","1.03K","0.02%"
"10/19/2023","79.65","79.65","79.65","79.65","0.02K","-0.36%"
"10/18/2023","79.93","80.70","80.95","80.00","0.13K","-0.63%"
"10/17/2023","80.44","80.80","80.80","79.98","0.13K","-2.09%"
"10/16/2023","82.15","84.69","84.69","81.50","0.14K","-1.60%"
"10/13/2023","83.49","84.02","84.21","83.08","0.80K","0.26%"
"10/12/2023","83.28","82.40","83.50","82.40","0.01K","1.93%"
"10/11/2023","81.70","83.00","83.00","81.55","0.20K","-1.35%"
"10/10/2023","82.82","78.02","82.70","78.02","0.86K","3.99%"
"10/09/2023","79.64","79.38","79.95","79.38","0.37K","1.54%"
"10/06/2023","78.43","79.00","79.00","78.25","0.18K","-0.22%"
"10/05/2023","78.60","80.30","80.30","80.30","0.05K","-1.41%"
"10/04/2023","79.72","78.23","80.25","78.23","0.04K","2.59%"
"10/03/2023","77.71","78.90","78.90","77.81","1.20K","-1.39%"
"10/02/2023","78.81","79.40","79.41","79.40","0.04K","-0.63%"
"09/29/2023","79.31","80.02","80.02","79.40","2.92K","-1.56%"
"09/28/2023","80.56","80.56","80.56","80.56","","0.59%"
"09/27/2023","80.08","80.00","80.00","79.90","0.33K","-0.52%"
"09/26/2023","80.50","81.73","81.73","81.00","0.12K","-2.74%"
"09/25/2023","82.78","83.01","83.25","82.40","0.33K","-0.60%"
"09/22/2023","83.28","81.47","83.25","81.47","0.32K","1.46%"
"09/21/2023","82.07","80.70","80.70","80.37","0.36K","2.01%"
"09/20/2023","80.46","79.40","80.11","78.26","0.74K","1.82%"
"09/19/2023","79.02","78.67","78.79","78.59","0.55K","0.63%"
"09/18/2023","78.53","79.78","79.78","78.27","0.66K","-1.48%"
"09/15/2023","79.71","81.00","81.14","79.65","1.55K","-1.32%"
"09/14/2023","80.78","80.78","80.78","80.78","","0.06%"
"09/13/2023","80.73","78.75","80.13","78.75","1.15K","2.57%"
"09/12/2023","78.71","79.41","79.48","79.00","0.25K","-0.94%"
"09/11/2023","79.46","79.99","79.99","79.55","0.24K","0.13%"
"09/08/2023","79.36","80.75","80.96","78.97","0.44K","-1.76%"
"09/07/2023","80.78","80.80","80.80","80.50","0.06K","-0.76%"
"09/06/2023","81.39","81.00","81.00","81.00","0.43K","-0.01%"
"09/05/2023","81.40","81.73","81.73","81.73","0.14K","-0.25%"
"09/04/2023","81.60","82.79","82.79","82.00","0.17K","-1.45%"
"09/01/2023","82.80","81.53","83.60","81.53","2.17K","-0.71%"
"08/31/2023","83.39","83.64","83.64","83.40","0.18K","-0.02%"
"08/30/2023","83.41","83.50","83.50","83.50","0.17K","1.26%"
"08/29/2023","82.38","82.38","82.38","82.38","","0.14%"
"08/25/2023","82.26","82.26","82.26","82.26","","-0.55%"
"08/24/2023","82.71","83.64","84.29","83.44","0.20K","-3.20%"
"08/23/2023","85.44","86.54","86.54","86.54","0.05K","-2.04%"
"08/22/2023","87.22","87.22","87.22","87.22","","2.34%"
"08/21/2023","85.22","85.60","85.60","84.84","0.08K","-0.19%"
"08/18/2023","85.39","85.90","85.90","85.90","0.03K","-0.87%"
"08/17/2023","86.14","86.17","86.17","86.17","0.12K","0.72%"
"08/16/2023","85.52","85.41","86.00","85.26","0.36K","1.50%"
"08/15/2023","84.25","84.30","84.95","83.99","0.17K","-1.24%"
"08/14/2023","85.32","83.83","85.00","83.83","0.51K","1.40%"
"08/11/2023","84.14","82.88","83.28","82.88","0.17K","2.44%"
"08/10/2023","82.13","81.00","81.07","81.00","0.11K","1.06%"
"08/09/2023","81.26","82.00","82.00","81.50","0.13K","-0.58%"
"08/08/2023","81.74","80.00","81.84","80.00","0.87K","1.67%"
"08/07/2023","80.39","80.75","80.75","80.23","0.16K","-0.69%"
"08/04/2023","80.96","83.00","83.00","81.14","0.48K","-1.12%"
"08/03/2023","81.88","81.88","81.88","81.88","","1.39%"
"08/02/2023","80.75","81.11","81.72","80.75","1.47K","-1.16%"
"08/01/2023","81.69","84.44","84.44","81.99","5.33K","-2.56%"
"07/31/2023","83.85","86.27","86.29","84.00","0.14K","-2.28%"
"07/28/2023","85.81","87.00","87.00","85.05","1.06K","-2.42%"
"07/27/2023","87.93","86.80","87.10","86.50","0.37K","0.19%"
"07/26/2023","87.77","86.86","90.02","86.86","3.58K","-1.34%"
"07/25/2023","88.96","88.61","88.90","88.61","0.20K","1.09%"
"07/24/2023","88.00","88.50","88.51","87.64","0.09K","-0.45%"
"07/21/2023","88.40","88.28","89.00","87.78","0.05K","0.67%"
"07/20/2023","87.82","87.58","88.11","87.16","0.50K","2.21%"
"07/19/2023","85.93","84.49","84.49","84.31","1.51K","1.01%"
"07/18/2023","85.07","83.57","84.16","83.57","0.10K","1.62%"
"07/17/2023","83.71","83.00","83.68","83.00","0.13K","0.67%"
"07/14/2023","83.16","83.62","83.70","83.57","0.29K","0.32%"
"07/13/2023","82.89","83.20","83.20","83.20","0.03K","0.17%"
"07/12/2023","82.75","84.34","84.66","83.60","0.14K","-1.34%"
"07/11/2023","83.88","82.50","82.50","82.50","0.05K","0.98%"
"07/10/2023","83.07","83.87","83.87","83.85","0.34K","0.00%"
"07/07/2023","83.07","83.20","83.42","82.86","1.46K","0.28%"
"07/06/2023","82.83","82.70","82.70","82.70","0.33K","-0.07%"
"07/05/2023","82.89","83.50","83.50","82.68","0.16K","-1.71%"
